
2015/01/13 23:51:56 [emerg] 11039#0: open() "/home/zmkeil/nginx/apps/nginx-fcgi-demo/conf/fastcgi_params" failed (2: No such file or directory) in /home/zmkeil/nginx/apps/nginx-fcgi-demo/conf/nginx.conf:20
2015/01/14 00:53:01 [error] 11880#0: *75 open() "/home/zmkeil/nginx/apps/nginx-fcgi-demo/html/nginx_status" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /nginx_status HTTP/1.0", host: "status.taobao.com"
2015/01/14 00:54:01 [error] 11880#0: *76 open() "/home/zmkeil/nginx/apps/nginx-fcgi-demo/html/nginx_status" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /nginx_status HTTP/1.0", host: "status.taobao.com"
2015/01/14 00:55:01 [error] 11880#0: *77 open() "/home/zmkeil/nginx/apps/nginx-fcgi-demo/html/nginx_status" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /nginx_status HTTP/1.0", host: "status.taobao.com"
2015/01/14 00:56:01 [error] 11880#0: *78 open() "/home/zmkeil/nginx/apps/nginx-fcgi-demo/html/nginx_status" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /nginx_status HTTP/1.0", host: "status.taobao.com"
2015/01/14 00:57:01 [error] 11880#0: *79 open() "/home/zmkeil/nginx/apps/nginx-fcgi-demo/html/nginx_status" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /nginx_status HTTP/1.0", host: "status.taobao.com"
2015/01/14 00:58:01 [error] 11880#0: *80 open() "/home/zmkeil/nginx/apps/nginx-fcgi-demo/html/nginx_status" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /nginx_status HTTP/1.0", host: "status.taobao.com"
2015/01/14 00:59:01 [error] 11880#0: *81 open() "/home/zmkeil/nginx/apps/nginx-fcgi-demo/html/nginx_status" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /nginx_status HTTP/1.0", host: "status.taobao.com"
2015/01/14 01:00:01 [error] 11880#0: *82 open() "/home/zmkeil/nginx/apps/nginx-fcgi-demo/html/nginx_status" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /nginx_status HTTP/1.0", host: "status.taobao.com"
2015/01/14 01:01:01 [error] 11880#0: *83 open() "/home/zmkeil/nginx/apps/nginx-fcgi-demo/html/nginx_status" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /nginx_status HTTP/1.0", host: "status.taobao.com"
2015/01/14 01:01:49 [error] 11880#0: *84 open() "/home/zmkeil/nginx/apps/nginx-fcgi-demo/html/favicon.ico" failed (2: No such file or directory), client: 192.168.2.101, server: , request: "GET /favicon.ico HTTP/1.1", host: "192.168.2.188"
